ሰላም ለኪ	nagaan isiniif haa ta'u
ወእለ ተርፉ ዐደዉ ላዕለ ዕፀ ሐመር ወሰላድው ወካልኣን ዐደዉ በአሕባለ ሐመር ወወፅኡ ኵሎሙ ወበጽሑ ምድረ በዘከመዝ ግብር	warri hafan immoo battee mukaatiin yookiis caccabaa markabichaatiin duukaa haa bu'an jedhee abboome hundumtinuus akka kanaatti oolanii gara lafaatti ba'an
ዘኪያሁ ይሴፈዉ ሰማያት ወምድር እስከ አመ ያስተራትዕ ኵሎ በከመ ነበበ እግዚአብሔር በአፈ ነቢያቲሁ ቅዱሳን እለ እምዓለም	durumaa jalqabee waaqayyo afaan qulqulloota raajota isaatiin dubbachaa kan ture raawwate hundumaa hamma iddootti deebisutti garuu yesus waaqa irra turuutu isaaf ta'a
ወሰቡዐ ዕለተ ለይልበሶ ካህን ዘህየንቴሁ እምውስተ ደቂቁ ዘይበውእ ውስተ ደብተራ ዘመርጡር ከመ ይሠየም ዝ ውስተ ቅዱሳን	namni ijoollee isaa irraa bakka isaa luba ta'e immoo mana qulqullummaa keessatti tajaajiluuf gara mana qulqullummaa walga'ii yommuu seenu guyyaa torba uffachuu qaba
ቡርክት አንቲ ተዐቢዪ እምሰማይ ወትከብርይ እምድር ወላዕለ ኩሉ ሕሊናት መኑ ዘይክል ነቢበ ዕበየኪ ወአልቦ ዘይመስል ኪያኪ	kan eebbifamte yaa durboo maariyaam ati ergamoota samii ni caalta ijoollee addaam hundumaas ni caalta uumama hundumaa ni caalta kan si fakkaatu hin jiru ulfinna kee dubbachuu kan dandau eenyuudha
ወደንገፁ ኵሎሙ ምእመናን እለ እምውስተ አይሁድ እለ መጽኡ ምስለ ጴጥሮስ እስመ ዲበ አሕዛብኒ ወረደ ጸጋሁ ለመንፈስ ቅዱስ	warra yihudootaa keessaa amantoonni phexrosii wajjin yopheedhaa dhufan kennaan hafuura qulqulluu saba waaqayyoo warra hin ta'iniif kennamuu isaa arganii akka abjuu ta'an
ወለዘፈቀደ ይስሐጦሙ እምውስተ ጸላእቶሙ ትወፅእ እሳት እምነ አፉሆሙ ወታጠፍኦሙ ለጸላእቶሙ ወከመዝ ይመውቱ እለ ይስሕጥዎሙ	eenyu illee isaan miidhuu yoo barbaade ibiddi afaan isaanii keessaa ba'ee diinota isaanii in fixa eenyu illee isaan miidhuu yoo barbaades akkasitti ajjeefamuun irra jira
እስመ ለነ ለኃጥኣን ለእመ መሐርከነ ውስተ አሚረ ትሰመይ መሐሬ ወለጻድቃንሰ እምግባሮሙ ትምሕሮሙ ወትዔሥዮሙ በከመ ጽድቆሙ	jal'oota yoo nu barsiifte gara laafessa jedhamta malee qajeelota sababa hojii isaaniitiin qajeelchitee akka qajeelummaa isaaniitti mindaa kennita
አማን አማን እብለክሙ ከመ ትበክዩ ወትላሕዉ አንትሙ ወዓለምሰ ይትፌሣሕ ወአንትሙሰ ተኀዝኑ አላ ኀዘንክሙ ፍሥሓ ይከውነክሙ	dhuguma dhuguman isiniin jedha isin in boossu in wawwaattus addunyaa garuu in gammada isin in gadditu gaddi keessan garuu gammachuutti in geddarama
ወይቤሎሙ በእንተ ዝንቱ ኵሉ ጸሓፊ ዘይጸመድ ለመንግሥተ ሰማያት ይመስል ብእሴ በዓለ ቤት ዘያወፅእ እመዝገቡ ሐዲሰ ወብሉየ	inni garuu kanaaf barsiisaan seera durii mootummaa samiitiif bartuu ta'e qopheeffame hundinuu abbaa manaa isa mana mi'a isaatii keessaa waan haaraa fi waan moofaa gad baasu fakkaata jedhe
ወይቤሎ ወልዱ አባ አበስኩ በሰማይኒ ወበቅድሜከኒ ወኢይደልወኒ እንከ እሰመይ ወልደከ አላ ረስየኒ ከመ አሐዱ እምአግብርቲከ	ilmi isaa garuu yaa abbaa ko ani waaqayyoon sis yakkeera si'achis ilma kee jedhamuun anaaf hin ta'u jedheen
ወእንዘ ይበልዑ ነሥአ ኅብስተ እግዚእ ኢየሱስ ወባረከ ወፈተተ ወወሀቦሙ ለአርዳኢሁ ወይቤሎሙ ሕንክሙ ብልዑ ዝ ውእቱ ሥጋየ	utuu nyaachaa jiranii iyyasuusbuddeena fuudhee eebbisee cabsees bartoota isaatiif kenne fudhadhaa nyaadhaa kun dhagna koo ti jedhe
ወይቤልዎ ጸሐፍት ወፈሪሳውያን ለምንት ኢየሐውሩ አርዳኢከ በከመ ሠርዑ ረበናት ወዘእንበለ ይትኀፀቡ እደዊሆሙ ይበልዑ እክለ	kana irratti fariisonnii fi barsiisonni seeraa bartoonni kee akka seera muka abbaa keenyaatti jiraachuu dhiisanii harka xuriitiin maaliif buddeena nyaatu jedhanii yesusin gaafatan
እስመ እምኵራባቲሆሙ ያወፅኡክሙ ወባሕቱ ትመጽእ ሰዓት ከመ ኵሉ ዘይቀትለክሙ ይመስሎ ከመ ዘመሥዋዕተ ያበውእ ለእግዚአብሔር	manneen sagadaa isaanii keessaa isin in baasu caalaadhumatti iyyuu yeroon itti isin ajjeesan in dhufa namni yoo isin ajjeeses waaqayyoof waan hojjetu isatti fakkaata
ወፈወሶሙ ለብዙኃን ድዉያን ወሕሙማን ወአውፅኦሙ ለብዙኃን አጋንንት ወኢያብሖሙ ይንብቡ እስመ የአምርዎ ከመ ውእቱ ክርስቶስ	iyyasuusdhukkubsatoota baay'ee warra dhukkuba garaa garaatiin rakkachaa turan fayyisee hafuurota hamootas baay'ee baase hafuuronni hamoonni isa waan beekaniif inni dubbachuu isaan dhowwe
ወነሥአ አብርሃም ዕፀወ መሥዋዕት ወአጾሮ ለይስሐቅ ወልዱ ወነሥአ እሳተኒ ውስተ እዴሁ ወመጥባሕተኒ ወሖሩ ክልኤሆሙ ኅቡረ	akkasitti abrahaam qoraan qalmi ittiin gubamu yisihaq ilma isaa baachisee ofii isaatii immoo ibiddaa fi haaduu harkatti baate lamaanuus walii wajjin in adeeman
ወይቤሎ ኒቆዲሞስ እፎ ይክል ሰብእ ዳግመ ተወልዶ እምድኅረ ልህቀ ይክልኑ በዊአ ወገቢአ ውስተ ከርሠ እሙ ወይትወለድ ዳግመ	niqoodemos immoo namni erga qancaree attamitti dhalachuu danda'a gadameessa haadha isaatti lammaffaa galee dhalachuu danda'a moo jedhee yesusin gaafate
ወእቤሎ እግዚኦ አንተ ተአምር ወይቤለኒ እሉ እሙንቱ እለ መጽኡ እም ዐቢይ ሕማም ወኀፀቡ አልባሲሆሙ ወአንጽሑ በደመ በግዑ	ani immoo gooftaa ko situ beeka jedheen deebiseef inni immoo isaan kun warra rakkina guddaa keessaa ba'anii dhufanii dha uffata isaanii dhiiga hoolichaatiin miiccatanii addeeffataniiru
ወተውህበ ሎቱ አፍ ከመ ይንብብ ዐቢያተ ወፅርፈታተ ወተውህበ ሎቱ ሥልጣን ይግበር ተአምረ ዘፈቀደ አርብዓ ወልክኤተ አውራኀ	dubbii gurratti guddaa fakkaatuu fi waaqayyoon kan arrabsu dubbachuudhaaf afaan in kennameef ji'a afurtamii lamaaf kana gochuudhaaf aboon in kennameef
ወወፅአ ካዕበ ጲላጦስ አፍኣ ወይቤሎሙ ናሁ አወፅኦ ለክሙ አፍኣ ከመ ታእምሩ ከመ አልቦ ዘረከብኩ ላዕሌሁ ጌጋይ ወኢአሐተኒ	philaaxos ammas gad ba'ee dabaa tokko illee akkan isa irratti hin argine akka beektaniif kunoo gara keessanittan gad isa baasa isaaniin jedhe
ወእምዝ ይቤሎሙ እግዚእ ኢየሱስ ኵልክሙ ተዐልዉኒ በዛቲ ሌሊት እስመ ይቤ መጽሐፍ እቀትሎ ለኖላዊ ወይዘረዉ አባግዐ መርዔቱ	ergasii yesus isin hundumti keessan edana ana mamtanii na buusuuf jirtu ani tiksee rukutee lafaan nan dha'a hoolonni karra sanaas in bittimfamu jedhamee caafameera
አኮ በጽድቅ ዘአምጻእከ ሊተ ወርቱዕሰ በጽድቅ ታምጽእ ሊተ አበስከ እንከ አርምም ወኅቤከ ምግባኢሁ ለእኁከ ወአንተ ትኳኖን	wanta gaarii utuu hojjettee ol jetta turte mitii ree wanta gaarii hin hojjettu yoo ta'e garuu cubbuun balbala kee dura riphee si eeggata si argachuus in kajeela ati garuu isa irratti aboo godhadhu jedhe
ወከመ ትዘከሩ ቃለ ነቢያት ቀደምት ቅዱሳን ዘይቤሉ ወትእዛዘ እግዚእነ ወመድኀኒነ ኢየሱስ ክርስቶስ ዘአዘዘ ለነ ለሐዋርያት	wanta raajonni qulqulloonni duraan dursanii dubbatan abboommii gooftaa keenyaa fi fayyisaa keenyaa isa karaa ergamoota warra isiniif hojjetanii argattan yaadadhaa
ወባሕቱ ዑቁ ምጽዋተክሙ ኢትግበሩ ለዐይነ ሰብእ ከመ ታስተርእዩ ሎሙ ወእመ አኮሰ ዐስብ አልብክሙ በኀበ አቡክሙ ዘበሰማያት	iyyasuusnamootatti mul'achuudhaaf jettanii tola keessan nama duratti akka hin goone of eeggadhaa kana yoo gootan garuu abbaa keessan isa waaqa irraa biraa gatii hin argattan
ስምዐ ኮነ መልአክ ዘአስተርአዮ ለዮሴፍ እንዘይብል ከመዝ እስመ ዘይትወለድ እምኔሃ እመንፈስ ቅዱስ ቃለ እግዚአብሔር ውእቱ	ergamaan yoseefitti mulate sun inni afuura qulqulluun ishee irraa dhalatu osoo hin jijjiiramne nama akka tau ragaa baeera sababni isaas sagalee waaqayyoo waan taeef
ወአውሥአ እግዚእ ኢየሱስ ወይቤሎ እስመ እመ እቤለከሁ ርኢኩከ በታሕተ ዕፀ በለስ ተአምንሁ እምይእዜሰ ዘየዐቢ እምዝ ትሬኢ	yesuus immoo deebisee muka harbuu jala si arge waanan jedheef na amantaa innis waan kana caalu ni argita jedhe
ወይቀውሙ ኵሎሙ መላእክት ወሊቃናት ዐውደ መንበሩ ወእልክቱኒ አርባዕቱ እንስሳሁ ሰገዱ በገጾሙ ቅድመ መንበሩ ለእግዚአብሔር	ergamoonni teessicha maanguddoota uumama lubbuu qaban arfanis naanna'anii dhaabatan hundinuu teessicha duratti adda isaaniitiin gombifamanii waaqayyoof in sagadan
ወአዘዝዎሙ ከመ ኢያማስኑ ሣዕረ ወኢሐመልማለ ወኢኵሎ ዕፀ ዘእንበለ ለሰብእ እለ አልቦሙ ማኅተመ እግዚአብሔር ውስተ ፍጽሞሙ	isaan marga lafaa biqiltuu mukas utuu hin ta'in namoota warra mallattoo waaqayyoo addattii hin qabne duwwaa akka miidhaniif abboomaman
ወከማሁ ጽዋዐኒ እምድኅረ ተደሩ ይቤሎሙ ዝንቱ ጽዋዕ ዘሐዲስ ሥርዐት ደምየ ውእቱ ዘይትከዐው በእንቲኣክሙ ወበእንተ ብዙኃን	akkasumas irbaata booddee xooficha fudhatee xoofoon kun kakuu isa haaraa dhiiga koo isa isiniif jedhee dhangala'uun dhaabatuu dha
ኃጢአትየ ነገርኩ ወአበሳየ ኢኀባእኩወእቤ ኣስተዋዲ ርእስየ ኀበ እግዚአብሔር በእንተ ኀጢአትየወአንተ ኅድግ ጽልሑቶ ለልብየ	yommus ani cubbuu koo sitti nan himadhe yakka koos ani hin dhoksine ani irradaddarbaa koo waaqayyotti nan himadha nan jedhe ati immoo yakka cubbuu kootiif anatti murame anaaf dhiifte
ዝግቡ ለክሙ መዝገበ ዘበሰማያት ኀበ ኢይበሊ ወኢይማስን ወኀበ ኢያማስኖ ፃፄ ወቍንቍኔ ወኀበ ሰረቅት ኢይከርዩ ወኢይሰርቅዎ	garuu badhaadhummaa ofii keessaniif waaqa irratti iddoo biliin yookiis daana'oon hin nyaannetti hattuunis cabsitee iddoo hin hannetti walitti qabadhaa
ወእምዝ ይብል እገብእ እንከሰ ውስተ ቤትየ እምኀበ ወፃእኩ ወመጺኦ ይረክቦ እንዘ ያስተራክብ እዳወ ዕሩቀ ወኵስቱረ ወምሩገ	kana booddees mana koo isa ani keessaa ba'ettan deebi'ee gala jedha yommuu deebi'ee dhufus manichi duwwaa isaa haramee qopheeffamee in argata
ወይእዜሰ ዘከመ እፎ ይሬኢ አው መኑ ከሠቶ አዕይንቲሁ ኢነአምር ኪያሁ ተሰአልዎ እስመ ልሂቅ ውእቱ ወይክል ተናግሮ ለርእሱ	amma attamitti akka argu hin beeknu yookiis eenyu ija isaa lachuu akka baneef nuyi hin beeknu inni nama ga'aa dha innumtuu waa'ee ofii isaatii in dubbata isa gaafadhaa jedhan
ወይቤሎ ዘካርያስ ለመልአከ እግዚአብሔር በምንት አአምር ከመ ይከውን ዝንቱ ናሁ አነሂ ልሂቅ ወለብእሲትየኒ ኀለፈ መዋዕሊሃ	zakaariyaas yommus ergamichaan kun akka ta'u attamittan beeka anoo dulloomeera haati manaa koos barri ishee darbeera jedhe
ናሁ ይትኀደግ ለክሙ ቤትክሙ በድወ እብለክሙ ከመ ኢትሬእዩኒ እምይእዜ እስከ ሶበ ትብሉ ቡሩክ ዘይመጽእ በስመ እግዚአብሔር	ilaa manni keessan onee in hafa isinittan hima hamma guyyaa maqaa waaqayyootiin kan dhufu galateeffamaa dha itti jettanitti ana hin argitan ittiin jedhe
ለእግዚአብሔርሰ አልቦ ዘርእዮ ግሙራ ወእመሰ ተፋቀርነ በበይናቲነ እግዚአብሔር ይነብር ምስሌነ ወፍቅሩሂ ፍጹም ሀሎ ምስሌነ	namni tokko illee waaqayyoon takkaa hin argine yoo wal jaallanne waaqayyo nu keessa in jiraata jaalalli inni ittiin nu jaallatus nu keessatti fiixaan ba'uu isaa ti
ወበእሑድ ሰንበት በጽባሕ አሌለያ ገዪሠ ወሖራ ኀበ መቃብር ወወሰዳ ውእተ አፈዋተ ዘአስተዳለዋ ወካልኣትኒ አንስት ምስሌሆን	guyyaa jalqaba torbaniitti gaafa sanbata guddaa obboroo dubartoonni sun urgooftuu dibataa isa qopheessanii turan fudhatanii gara awwaalichaa dhaqan
ወይቤሎሙ እግዚእ ኢየሱስ ለአርዳኢሁ ኵልክሙ ትክሕዱኒ በዛቲ ሌሊት እስመ ጽሑፍ ዘይብል እቀትሎ ለኖላዊ ወይዘረዋ አባግዒሁ	yommus yesus hundumti keessan na dhiiftanii baqachuuf jirtu ani tiksee rukutee lafaan nan dha'a hoolonnis in bittimfamu jedhamee caafameera
ወአመ ቀዳሚት ዕለት በዓለ መጸለት ፋሲካ አመ ይጠብሑ ፍሥሐ ይቤልዎ አርዳኢሁ በአይቴ ትፈቅድ ንሑር ናስተዳሉ ለከ ትብላዕ	jalqaba ayyaana maxinootti namoonni hoolaa faasiikaa erga qalanii booddee bartoonni isaa hoolaa faasiikaa akka nyaattuuf eessa dhaqnee akka qopheessinu barbaadda jedhanii yesusin gaafatan
ወአስተርአዮ ለጳውሎስ በሌሊት ብእሲ መቄዶናዊ ይቀውም ወያስተበቍዖ ወይቤሎ ኅልፍ እንተ መንገሌነ ለመቄዶንያ ወነዓ ርድአነ	phaawulos halkan sanatti nama maqedooniyaa tokko mul'atatti arge namichi dhaabatee maqedooniyaatti ce'ii nu gargaari jedhee isa kadhate
አልቦ ድንጋግ ለባሕረ ጥበቡ ወአልቦ መስፈርት ለሣህለ ትእዛዙ አልቦ ዐቅም ለስፍሐ መንግሥቱ ወአልቦ ወሰን ለራኅበ ምኵናኑ	galaanni ogummaa daangaa hin qabu dhiifamnis ulaagaa ajaja hin qabu balinni mootummaa isaas daangaa hin qabu balinni bulchiinsa isaas daangaa hin qabu
ወበዊኦ ቤተ መጽኡ ኀቤሁ እሙንቱ ዕዉራን ወይቤሎሙ እግዚእ ኢየሱስ ተአምኑሁ ከመ እክል ዘንተ ገቢረ ወይቤልዎ እወ እግዚኦ	inni manatti ol gallaan namoonni jaamonni sun isatti dhi'aatan yommus yesus kana gochuu akkan danda'u in amantuu ree ittiin jennaan isaan immoo eyyee yaa gooftaa jedhaniin
ዘተወክፈ አሐደ ዘመጠነዝ ሕፃን በስምየ ኪያየ ተወክፈ ወዘኒ ኪያየ ተወክፈ አኮ ኪያየ ባሕቲቶ ዘተወክፈ ዘእንበለ ዘፈነወኒ	mucaa akkasii tokko maqaa kootiin kan simu ana sima kan na simu immoo isa na erge in sima malee ana simuu isaa miti jedhe
ወአውሥአ እግዚእ ኢየሱስ ወተስእሎሙ ለጸሐፍተ ሀገር ወለፈሪሳውያን እንዘ ይብል ይከውንሁ በሰንበት ፈውሶ ወሚመ ኢይከውንሁ	yommus yesus guyyaa sanbataatti fayyisuun seera moo seera miti jedhee barsiisota seeraatii fi fariisota gaafate
አኮ በእንተ ዝንቱ ባሕቲቱ ዓዲ ንትሜካሕ በኀበ እግዚአብሔር በእንተ እግዚእነ ኢየሱስ ክርስቶስ ዘበእንቲኣሁ ረከብነ ሣህሎ	kana duwwaas miti gooftaa keenya yesus kristosiin amma araara waan qabnuufis waaqayyotti gammaduu keenya in himanna malee
ባርክ ኪያሆሙ ወኪያሆን ዘበሰማያት በበረከተ መላእክቲከ ኃይላት ግብረ እደዊሆሙ ባርክ ወኩን ምስሌሆሙ በኵሉ ምግባረ ሠናይ	dhiiraa fi dubartoota gibira samii irratti eebba ergamoota kee humnoota jedhamaniin eebbisi hojii harka isaanii hundumaas isaan waliin ta'i
ወዘንተ ነገረ ተናገሮሙ እግዚእ ኢየሱስ በኀበ ሙዳየ ምጽዋት እንዘ ይሜህሮሙ በምኵራብ ወኢአኀዝዎ እስመ ዓዲ ኢበጽሐ ጊዜሁ	iyyasuuskutaa mana qulqullummaa keessaa iddoo qodaan buusii kaa'amutti dhi'oo taa'ee utuu barsiisuu dubbii kana hundumaa dubbate yeroon isaa amma iyyuu waan hin ga'iniif namni tokko illee harkaan isa hin qabne
እሎንተ ዐሠርተ ወክልኤተ ፈነዎሙ እግዚእ ኢየሱስ ወአዘዞሙ እንዘ ይብል ውስተ ፍኖተ አሕዛብ ኢትሑሩ ወሀገረ ሳምር ኢትባኡ	isaan kudha lamaan kana iyyasuusergee karaa saba waaqayyoo warra hin ta'initti isin geessu irra hin gorinaa mandara warra samaariyaa tokko illees hin lixinaa
ወእመኒ ሐየውነ ለእግዚአብሔር ነሐዩ ወእመኒ ሞትነ ለእግዚአብሔር ንመውት እመኒ ሐየውነ ወእመኒ ሞትነ ለእግዚአብሔር ንሕነ	yoo jiraanne akeeka gooftichaatiin jiraanna yoo duunes akeeka gooftichaatiin duuna egaa jiraannus duunus nuyi kan gooftichaa ti
አክብር አባከ ወእመከ ከመ ይኩንከ ጽድቀ ብዙኀ ዕለተ ትረክብ በውስተ ምድር ዘጻድቅት ውእቱ እግዚእ እግዚአብሔር የሀብከ	abbaa kee fi haadha kee kabaji lafa waaqayyo kee siif kennaa jiru kana keessa umrii dheeraa haa jiraattu
ወአውሥአ እግዚእ ኢየሱስ ወይቤሎሙ ይመስለክሙኑ እሙንቱ ገሊላውያን ኃጥኣን እምኵሉ ሰብአ ገሊላ እስመ ዛቲ ሕማም ረከበቶሙ	iyyasuusimmoo deebisee jarreen galiilaa kun galiilota warra kaan hundumaa irra kan caalu cubbamoota waan turaniif dhiphinni akkasii isaan irra ga'e isinitti fakkaataa
ወባሕቱ ከመዝ ይረትዕ አኀዊነ እስመ አልጸቀ ይኅልፍ ኵሉ ንብረተ ዝ ዓለም ወይእዜኒ እለኒ አውሰቡ ይከውኑ ከመ ዘኢያውሰቡ	obboloota koo yeroon si'anaa kun dhumuuf jedha jechuu koo ti si'achi warri haadha manaa qaban akka warra hin qabaatinii haa ta'an
እስመ ፈራህኩከ እስመ አአምረከ ከመ ዕፁብ ብእሲ አንተ ወትነሥእ ዘኢያንበርከ ወተአርር ዘኢዘራዕከ ወታስተጋብእ ዘኢዘረውከ	ati nama jabaa kan hin kaa'in kan fudhattu kan hin facaasinis kan galfattu waan taateef si sodaadheen ture jedhe
ወበህየ ፈርሁ ወገረሞሙ ዘኢኮነ ግሩመእስመ እግዚአብሔር ዘረወ አዕጽምቲሆሙ ለመዳልዋንወተኀፍሩ እስመ እግዚአብሔር አኅሰሮሙ	kunoo isaan sun naasuu guddaadhaan naasuu takkaa ta'ee hin beekneenis in liqimfamu waaqayyo lafee warra marsanii si qabanii in bittimse waaqayyo waan isaan gateef ati akka isaan yeellaasifaman in goota
ወእመሰ እንበይነ መብልዕ ተሐይሶ ለቢጽከ አልብከኬ ተፋቅሮ ቦኑ እንበይነ መብልዕ ይትኀጐል ዝኩ ዘበእንቲኣሁ ሞተ ክርስቶስ	nyaanni ati nyaattu yaada obboleessa keetii yoo miidhe ati jaalalatti qabamtee jiraatta miti nyaata ofii keetiif nyaattuun nama kristos du'eef gara badiisaatti hin geessin
ጸልዩ በእንቲአነ ወበእንተ ኵሎሙ ክርስቲያን እለ ይቤሉነ ግበሩ ተዝካሮሙ በሰላም ወበፍቅረ ኢየሱስ ክርስቶስ ሰብሑ ወዘምሩ	nuufis ta'e kiristaanota nuuf yaadan hundaaf kadhadhaa nagaa fi jaalala iyyasuus kiristoosiif galateeffadhaa faarfadhaa
ወእመሰ ዘኢየአምን ይፈቅድ ይኅድግ ለይኅድግ እስመ እኁነ ወእኅትነ ኢይትቀነዩ ለዘከመዝ እስመ ጸውዖሙ እግዚአብሔር ለሰላም	isin keessaa inni hin amanin hidhata isaattii gargar ba'uu yoo fo'ate garuu gargar ba'uu in danda'a waaqayyo jireenya nagaatiif waan isin waameef yeroo kanatti inni amane yookiis isheen amante hidhata gaa'elaattii hiikamuu isaanii ti
ወይቤሎሙ ሑሩ ወወፂኦሙ ሖሩ ወቦኡ ውስተ አሕርው ወአብዱ ኵሉ መራዕየ አሕርው ወሮጹ ወጸድፉ ውስተ ባሕር ወሞቱ ውስተ ማይ	inni dhaqaa isaaniin jennaan jara keessaa ba'anii booyyota sanatti galan yommusumas hoomaan booyyee sun guutummaatti hallayaa irraa gara ciisa bishaaniitti gad konkolaatanii dhuman
ወሶበ ርእዩ ትሕትናሁ ለእግዚኦሙ አልዐሉ አዕይንቲሆሙ ላዕለ ውስተ አርያም ሰፍሑ ክነፊሆሙ ወሰብሑ ለእግዚኦሙ እንዘ ይብሉ	gad of deebisuu gooftaa yommuu argan ija isaanii ol kaasanii baallee isaanii diriirsan
ወነዳያንሰ በኵሉ ጊዜ ሀለዉ ምስሌክሙ ወዘልፈ ትረክብዎሙ ወጊዜ ፈቀድክሙ ታሤንዩ ሎሙ ወኪያየሰ አኮ በኵሉ ጊዜ ዘትረክቡኒ	namoota hiyyeessota yeroo hundumaa of biratti in argattu ana garuu yeroo hundumaa hin argattan jedhe
ወበውእቱ መዋዕል ኀለፈ እግዚእ ኢየሱስ በሰንበት እንተ መንገለ ገራውህ ወአርዳኢሁሰ ርኅቡ ወአኀዙ ይምሐዉ ሰዊተ ወይብልዑ	yeroo sana iyyasuusguyyaa sanbataatti maasii qamadii tokko keessa darbe bartoonni isaa immoo beela'anii waan turaniif asheetii isaa ciranii nyaachuutti ka'an
ወይትነሣእ ሕዝብ ዲበ ሕዝብ ወነገሥት ላዕለ ነገሥት ወይከውን ድልቅልቅ በበ ብሔሩ ወይመጽእ ረኃብ ወዝንቱ ቀዳሚሁ ለፃዕር	sabni saba irratti mootummaanis mootummaa irratti in ka'a socho'i lafaa iddoo adda addaatti beellis in ta'a wanti kun garuu jalqaba ciniinsuu ti
ወተመዪጦ ይቤሎ ለጴጥሮስ ሑር እምድኅሬየ ሰይጣን እስመ ኮንከ ማዕቅፍየ ሊተ እስመ ኢትኄሊ ዘእግዚአብሔር ዘእንበለ ዘሰብእ	inni garuu gara gale phexrosiin na duraa turi seexana nana ati gufuu anatti taate ati kan namootaa malee kan waaqayyoo hin yaaddu jedhe
ዘከመ ቦአ ቤቶ ለእግዚአብሔር ወበልዐ ኀባውዘ ቍርባን ዘኢይከውኖ ለበሊዕ ወኢ ለእለ ምስሌሁ ዘእንበለ ለካህናት ለባሕቲቶሙ	inni mana waaqayyootti galee buddeena ilaalchaa isa waaqayyoof dhi'aate nyaate isa nyaachuun luboota duwwaaf malee isaaf warra isaa wajjin turaniif seeraan dhowwamaa ture
ወባሕቱ እብለክሙ ብዙኃን ይመጽኡ እምሥራቅ ወእምዕራብ ወይረፍቁ ውስተ ሕፅነ አብርሃም ይስሐቅ ወያዕቆብ በመንግሥተ ሰማያት	baay'een immoo ba'abiiftuutii lixa isheetiis dhufanii mootummaa samii keessatti abrahaam yisihaqii fi yaaqoobii wajjin maaddiitti akka taa'an ani isinittan hima
ወሶበ ከመዝ ይብሉ እልክቱ እንስሳሁ ወይሁቡ ስብሐተ ወክብረ ወአኰቴተ ለዝክቱ ዘይነብር ዲበ መንበር ዘሕያው ለዓለመ ዓለም	uumamni lubbuu qaban kun isa teessoo irra taa'e isa bara baraan jiraatu sanaaf guddina ulfina galatas in dhi'eessu
ወነሥኦ ሐቢ ለወልድ ወወሰዶ ኀበ መልአክ ወይቤሎ ጳውሎስ ሙቁሕ አስተብቍዐኒ አብጽሖ ኀቤከ ለዝ ወልድ እስመ ቦ ዘይነግረከ	angafichi dhibbaa kana irratti dargaggeessicha fuudhee gara angaficha kumaatti geessee phaawulos inni hidhamaan ofitti na waame dargaggeessa waan sitti himu qabu kana gara kee akkan fiduuf na kadhate jedhe
ወዝንቱ ውእቱ ፈቃዱ ለአቡየ ከመ ኵሉ ዘርእዮ ለወልድ ወአምነ ቦቱ ይረክብ ሕይወተ ዘለዓለም ወአነ አነሥኦ በደኃሪት ዕለት	abbaan koo namni ana ilma isaa argu kan anatti amanus hundinuu jireenya bara baraa akka qabaatu in fedha anis immoo guyyaa booddeetti du'aa isa nan kaasa
ወይስእል ይስሐቅ ኀበ እግዚአብሔር በእንተ ርብቃ ብእሲቱ እስመ መካን ይእቲ ወሰምዖ እግዚአብሔር ወፀንሰት ብእሲቱ ርብቃ	yisihaq waa'ee haadha manaa isaa ishee dhabduu turteef waaqayyoon kadhate waaqayyos wanta inni kadhate waan dhaga'eef ribqaan haati manaa yisihaq in ulfoofte
ወይቤሎሙ እግዚእ ኢየሱስ ማእረሩሰ ብዙኅ ወገባሩ ኅዳጥ ሰአልዎ እንከ ለበዓለ ማእረር ከመ ይወስክ ወይፈኑ ገባረ ለማእረሩ	inni isaaniin midhaan sassaabamu danuu dha hojjetoonni sassaaban garuu muraasa kanaafis hojjetoota midhaan sassaaban itti haa yaafatuuf abbaa midhaanichaa kadhadhaa
ነአምር ከመ ኵሉ ዘይብል ኦሪት ለእለ ውስተ ኦሪት ይቤሎሙ ከመ ይትፈፀም ኵሉ አፍ ወይኩን ግሩረ ኵሉ ዓለም ለእግዚአብሔር	ammas seerri waanuma jedhu warra seera jala jiranitti akka dubbatu nuyi in beekna kanas nama hundumaa afaan qabachiisuudhaaf guutummaa biyya lafaas firdii waaqayyoo jala galchuudhaaf in dubbata
ወእምኵሉ እንስሳ ወአዕዋፍ ወዘይትሐወስ ወእምነ ኵሉ አራዊት ወእምኵሉ ዘሥጋ ታበውእ ምስሌከ ውስተ ታቦት ተባዕተ ወአንስተ	uumama foon uffatee jiraatu hundumaa keessaa sii wajjin hafanii akka jiraataniif lama lama markabichatti galchi isaanis kormaa fi dhalaa haa ta'an
ወይቤሎሙ ዑቁ ኢያስሕቱክሙ ብዙኃን ይመጽኡ በስምየ እንዘ ይብሉ አነ ውእቱ ክርስቶስ ወበጽሐ ዕድሜሁ ወኢትሑሩ ወኢትትልውዎሙ	yommus yesus hubadhaa hin gowwoomfaminaas baay'een ani kiristoos yerichi eeggatames ga'eera jechaa maqaa kootiin in dhufu isin garuu isaan duukaa hin dhaqinaa
